tweet_id,followers,date,message_detail,retweet_count,username,label;;
1488256009034297344,433,2022-02-01 00:00:57,ASLI WINNER UMAR RIAZ  UMAR RIAZ ERA BEGINS  Looking so smart https://t.co/V4dRXvXwO3,15,ManojSh30149563,;;
1488256011135770626,196,2022-02-01 00:00:58,@commandantecero Bu herif Lise Mezunu ve Megaloman.. Hep önemli biri olmak isterler. Zenginlik ararlar.. Asla belli bir hedef limit yoktur hep daha iyi olmalıdır. Banka hesapları doldukça dolmalıdır. Doyumsuzdur. Siyasi ve bürokratik irade ile hep mesai yakınlık kovalarlar. Çünkü anahtar onlarda!,0,aslanbeyusanj,;;
1488256010594705410,52,2022-02-01 00:00:58,RT @TheTraderT1: Düşeni kıranlar #sise #krdmd #toaso #egeen #mgros #kchol  Önemli dirençlere gelenler #thyao #froto #garan #ykbnk  Düşeni kırmak üzere olanlar #vestl #tavhl #tuprs   Araştırmaların daha fazla kişiye ulaşması adına RT rica ediyorum,0,cemaldogan_tr,;;
"1488256021902630920,1143,2022-02-01 00:01:00,""#BMSCH Günlükte 7,79 desteği 8,21 direnci ayı tuzağından kurtulmuş gözüküyor. https://t.co/9UnWccun9w"",0,brgrylc,";;
1488256020023439363,6316,2022-02-01 00:01:00,Farklı açıdan #HEKTS analizi. https://t.co/Vt10K7uyOl,1,PiyasaAnalizA,;;
1488256023890731011,134,2022-02-01 00:01:01,RT @turkogluetkinlk: ❝ Tüm Emanet Ailesi ve STFC’yi bekliyoruz ❞  🎯 Hedef: 5000 Mention       Bol Rt  ➰ Bol Fav   🖇Etiketimiz ;  #SılaTürkoğlu SılaTürkoğlu https://t.co/XWtkaZbQKB,0,LinaBS13,;
"1488256029217669120,2649,2022-02-01 00:01:02,""RT @yenisafak: CHP'li Özgür Özel, Cumhurbaşkanı Erdoğan'ın Trabzon ziyareti sırasında mikrofonu alarak Kemal Kılıçdaroğlu'nu hedef alan çocuk üzerinden haddi aşan bir açıklama yaptı.  ▪️Özel, Cumhurbaşkanı Erdoğan'ı Nazi Almanya'sı lideri Adolf Hitler'e benzetti."",0,0_7mustafa,";;
"1488256029980864513,139,2022-02-01 00:01:02,""RT @AjansMuhbir: Tekel Bayiler Platformu Başkanı Özgür Aybaş, alkol ve sigara fiyatları için çektikleri “La Casa de Tekel” isimli belgeselin fragmanını yayınladı.   https://t.co/hk2VcrKosR"",0,Berdano,";;
1488256033684393991,1148,2022-02-01 00:01:03,RT @medyaadami: Erdoğan imzalı belge dedi sahte çıktı  Küfürbaz Lütfü’yle açılış yaptı   Troller deyip masum insanları hedef aldı   Fakirlik edebiyatı yaptığı odanın gecelik fiyatı 102.300 TL çıktı  Senden daha büyük troll mü var be @kilicdarogluk ?  #TrollAmca https://t.co/KfvLwDUbm8,0,nehir_kaz,;;
1488256037778038784,21,2022-02-01 00:01:04,RT @Erdal_Analiz: #crfsa 36.00 rakamın altında kapanışlar yapmazsa burdan yükseliş yapar diye düşünüyorum ytd https://t.co/zPuRve2SvA,0,KY32oruc,;;
1488256046393180164,3420,2022-02-01 00:01:06,#Bera haftalık takaslar y.t.d https://t.co/xv39hZOd7F,0,Bilaldogar1992,;;
1488256054140051464,6443,2022-02-01 00:01:08,Garanti YO Bilanço Analizi (#GRNYO) https://t.co/CGU5U2XjOU,0,hisseco,;;
1488256053796130816,10233,2022-02-01 00:01:08,ABD havacılık hisseleri kapanışlar...#thyao #pgsus #tavhl https://t.co/PIHYTkHmqM,2,serkan_saka_,;;
"1488256065603002371,88,2022-02-01 00:01:11,""RT @AjansMuhbir: Tekel Bayiler Platformu Başkanı Özgür Aybaş, alkol ve sigara fiyatları için çektikleri “La Casa de Tekel” isimli belgeselin fragmanını yayınladı.   https://t.co/hk2VcrKosR"",0,zizuur,";;
1488256072590704641,10,2022-02-01 00:01:12,RT @Yadani161: Herkese Merhaba   KalpYarası bu akşam atv'de lütfen televizyonu aç  MENTİON ETKİNLİĞ HEDEF:15000 Mentions  Etiket : #HesaplaşmaZamanı https://t.co/fQSrIF5oEO,0,FeRiel21210208,;;
1488256075535114241,180,2022-02-01 00:01:13,Astrofotoğrafçılıkta gök yüzüne neden fener tutulduğunu anlayabilmiş değilim 🤔🤔,0,kartal58li,;;
"1488256074855690242,47,2022-02-01 00:01:13,""RT @cigdemtoker: """"Kanal İstanbul manzaralı konutları kimler alacak""""  Ürdünlü iş insanının kurduğu Go Smart şirketi, askıya çıkarılan Yenişehir planını müşterilerine """"Allah'a şükürler olsun"""" diye duyurdu.  -Geleceksizlik korkusu  Bugünkü yazı: https://t.co/kzxJ69Bo3N #gazetesozcu @gazetesozcu"",0,krlangyuvas,";;
1488256085681135630,2212,2022-02-01 00:01:15,#tknsa  benim kriterim 7.55 .. dedim ama..  geçer kalırsa çizmeli bu sabo.. https://t.co/YYnAQhffRY,0,GeliyorValdez,;;
1488256088277454848,714,2022-02-01 00:01:16,#ayen benim bebek hissem  1.80$/2.60$  hedefim var  bilginiz olsun #ozgur_trader https://t.co/clJ6Z5wfEw,0,ozgurr684,;;
1488256088688369664,1498,2022-02-01 00:01:16,RT @telgrafmedya: SANKO Okulları Öğrencisi Kutay Sakmak Türkiye üçüncüsü @CengizHaliliek @SankoOkul  https://t.co/Qsz42rlhjA @telgrafmedya aracılığıyla,0,CengizHaliliek,;;
1488256098213797896,14,2022-02-01 00:01:18,RT @aydinanefesol: Sizlerin sayesinde %4 oldum 1yıldan sonra ama ilerleyemiyorz öyle kaldk neolr destek olun bende kurtulaym 🙏 210 KW Rihanna #AliKocİstifa #hepborçlu Altınbaş Üniversitesi #TekFormuelSartsızHAK #Atama #ANELE #EsraErolKapatılsın #Euphoria #TikTok #yargı #Our_Light_JihyoDay #shiba https://t.co/IPqGWyFuyH,0,Mertz10365022,;;
1488256103737614349,22,2022-02-01 00:01:20,@xanthos_027 efsane geri döndü #isgyo #ısgyo #nthol #HEKTS #otkar gücünü ve dürüstlüğünü herkes hissecek ve görecek 💪💪💪💪 https://t.co/SXEYsAv1fg,0,MahirHosaf,;;
1488256109181911043,16556,2022-02-01 00:01:21,RT @1453fy: CHP & TROL AĞI ⤵️  CHP özel trol ağı kurmuş buradan trol orduları ile hedef belirledikleri isimlere itibar suikastı yapıyorlar.   https://t.co/cWIatL3NE4  Bu trol ordusunun başında da CHP’li danışman Mücahit Avcı var. @avcimucahit https://t.co/8XFUH2AzJg,0,MihnetsizKul,;;
1488256128328908812,15,2022-02-01 00:01:26,@Mikro_Cip Birde eplas ve alcar yazsan abi,0,Recep31534923,;;
"1488256130954506246,178,2022-02-01 00:01:26,""RT @slot_media: Alkol ve tütün mamullerine gelen son zamlar, kimilerine göre toplum sağlığına yönelik tehdit kimilerine göre yaşam tarzına müdahale... Yeni belgeselimiz """"La Casa De Tekel"""" yakında Slot, Youtube kanalında yayında!  @ozanbingoll  @AybasOzgur https://t.co/MQUXxf9wNK"",0,srknytmsln,";;
"1488256166153101312,1853,2022-02-01 00:01:35,""RT @DerinMillet1: 12-Gerçek amaç trol ya da troller değil, 5. Kol faaliyet alanının kamufle edilmesine dönük hedef saptırmaktır.  Dikkatle üzerinde düşünülmesi gereken stratejik bir hamle ile karşı karşıyayız!"",0,y_ihsn,";;
"1488256169084919809,236,2022-02-01 00:01:35,""RT @TulayDemir00: 📍Avrupa Parlementosu Milletvekili, önceki dönem Türkiye rapörtörü PKK uşağı @KatiPiri beni hedef göstermiş.  📍Bu twitinden sonra tüm PKK ve sözde Kürdistan sitelerinin hedefi olmuşum.  📍Beni hedef gösterdiklerine göre doğru yoldayım demek ki. Susmak yok❗️#KahrolsunPKK #HDPKK https://t.co/aT2YvcSoG7"",0,BihterBaykan,";;
1488256200139591687,4,2022-02-01 00:01:43,Yarın bunları bi takip etmek lazım. #sasa #kords #ismen #ısdmr https://t.co/vUuh6yRcPo,0,grafiktrend,;;
"1488256207181815813,300,2022-02-01 00:01:44,""Müslüman var ,Mümin var aralarında dağlar kadar fark var..  Müslüman var ,Müslüman gibi görünen var ..  İlimsiz İslam olmaz ..Çünkü Müslüman olunur ardından hedef Mümin olmaktır ,Mümin de cahil olmaz.."",1,Cneyt45340139,";;
1488256206015717376,134,2022-02-01 00:01:44,#almad kömürün bu kadar konuşulduğu ortamda bakalım neler olacak? ytd. #bist #viop https://t.co/48If2H8Yyl https://t.co/4XnnYrYR3P,0,AlyagBrad,;;
1488256212194013186,438,2022-02-01 00:01:46,RT @tebaris20: @felicm88 @Luna3306 @clara_garan @ElbarElena Jajajjaja yo el lenguas menos q escribir jajajajaj #AlparslanBüyükSelçuklu #BarışArduç #Alparslan,0,felicm88,;;
1488256218363834372,35,2022-02-01 00:01:47,RT @BrkBarbarosoglu: HAFTALIK HEDEFİMİZ 20.000 $    İLK GÜNDEN KAZANCIMIZ 27.000 $   9 İŞLEM 9 TP  😎  BAŞARI %100 ✅  BOŞUNA DEMİYORUZ   HEDEF BAŞARI   ADRES ➡️ BURAK BARBAROSOĞLU 👊  #FX #FOREX #BIST30 #Binance #BorsaIstanbul https://t.co/0KiWf4A2C0 https://t.co/jRS2vvLqfS,0,Burak16452219,;;
"1488256248327905285,322,2022-02-01 00:01:54,""RT @CNybak: Fener, İstanbul, 1989 https://t.co/Ml1KGwQbKh"",0,_asitane_,";;
1488256256703881229,0,2022-02-01 00:01:56,@Arzu6235 #borsacıselim MRGYO suan yutupta borsacı selım bu hısse analız edıyor hıssesını merak eden ızleyebılır yayına katılıp hıssesını sorabılır nokta atıslarla super bılgılı bır hoca arkadaslar ızleyıp kendınız karar verın,0,SskrBar,;;
1488256261229400064,2524,2022-02-01 00:01:57,RT @sinemis1212: Kılıçdaroğlu Hedef gösterirse bizede destek olmak düşer Arkadaşlar bol bol rt faw desteği verelim !  @TheLaikYobaz @medyaadami @themarginale,0,HatunDobra1,;;
1488256263192461318,9,2022-02-01 00:01:58,@eternalfiregg Bizim hedef heroic beyler bu maç bizde,0,Eren11907719,;;
1488256268326379520,3,2022-02-01 00:01:59,@Fenerbahce FENER BAK BURAYA MAX MEYERİNSEN KİMSİNDE DANİMARAKAYA KİRALİYORSUN TRASNFELERİ ACİKLA ULAN,0,GfbErenay,;;
"1488256280116486147,4870,2022-02-01 00:02:02,""@Mindmak02618950 @hykarabelen Ne alaka derken? Arkadaşım kuruyemiş işine #gıda ile alakalı işe Erdemir mi girecek. Hektaş, oyak grubunun iştiraki.   #eregl gibi #oyakc gibi.."",0,Erdem0642,";;
1488256280967983105,72,2022-02-01 00:02:02,RT @AybasOzgur: Belgeselimizin Fragmanı tmm devamı çok yakında Slot YouTube kanalında yayında   “La Casa De Tekel “ https://t.co/3irXrqWYiH,0,olcaysmya,;;
